# Russian	Uzbek (Latin)	English
Последние уложенные товары	Oxirgi joylangan tovarlar	Recently packed items
Последние уложенные заказы	Oxirgi joylangan buyurtmalar	Recently packed orders
Заявка WMS №	WMS ariza №	WMS request #
Большие цифры WB: 	WB katta raqamlari: 	Large WB digits:\s
Заказ №	Buyurtma №	Order #
Отменить последнее сканирование	Oxirgi skanerlashni bekor qilish	Undo last scan
Отменить упаковку полностью	Qadoqlashni to‘liq bekor qilish	Cancel all packing
ПОСТАВКА 	YETKAZIB BERISH 	SHIPMENT\s
Упаковано: 	Qadoqlandi: 	Packed:\s
коробов закрыто: 	yopilgan qutilar: 	boxes closed:\s
мест закрыто: 	yopilgan joylar: 	packages closed:\s
Возьмите пустой короб для поставки на СЦ и отсканируйте его номер. Затем кладите товары и сканируйте их ШК.	Saralash markazi uchun bo‘sh qutini oling va raqamini skanerlang. Keyin tovarlarni joylab, SHKlarini skanerlang.	Take an empty box for the sorting-centre shipment and scan its number. Then place items inside and scan their barcodes.
Возьмите пустой физический короб, наклейте на него QR грузоместа WB и отсканируйте этот QR.	Bo‘sh qutini oling, WB yuk joyi QR stikerini yopishtiring va QRni skanerlang.	Take an empty physical box, apply a WB shipping-package QR label and scan the QR code.
Сканируйте номер короба FFL	FFL quti raqamini skanerlang	Scan FFL box number
Сканируйте QR грузоместа WB	WB yuk joyi QR kodini skanerlang	Scan WB shipping-package QR
Открыть грузоместо	Yuk joyini ochish	Open shipping package
Выбрать другую поставку	Boshqa yetkazib berishni tanlash	Choose another shipment
Выберите поставку.	Yetkazib berishni tanlang.	Select a shipment.
Нет поставок FBS для упаковки. Сначала сформируйте поставку и соберите заказы.	Qadoqlash uchun FBS yetkazib berishlari yo‘q. Avval yetkazib berishni yarating va buyurtmalarni yig‘ing.	No FBS shipments to pack. Create a shipment and pick its orders first.
Выберите поставку	Yetkazib berishni tanlang	Select shipment
уложить: 	joylash: 	to pack:\s
ещё собирается: 	hali yig‘ilmoqda: 	still being picked:\s
Теперь отсканируйте номер пустого короба FFL.	Endi bo‘sh FFL quti raqamini skanerlang.	Now scan the empty FFL box number.
Теперь отсканируйте QR грузоместа.	Endi yuk joyi QR kodini skanerlang.	Now scan the shipping-package QR code.
Сначала выберите поставку.	Avval yetkazib berishni tanlang.	Select a shipment first.
Отменить всю упаковку?	Butun qadoqlash bekor qilinsinmi?	Cancel all packing?
Все уже добавленные товары будут удалены из этого упаковочного места и вернутся в очередь. Сами заказы и их сборка не отменятся.	Qo‘shilgan barcha tovarlar bu joydan chiqarilib, navbatga qaytariladi. Buyurtmalar va ularning yig‘ilishi bekor qilinmaydi.	All added items will be removed from this package and returned to the queue. The orders and their picking will not be cancelled.
Сбросить упаковку	Qadoqlashni tiklash	Reset packing
Закрыть короб?	Qutini yopasizmi?	Close box?
Закрыть грузоместо?	Yuk joyini yopasizmi?	Close shipping package?
Внутри зафиксировано: 	Ichida qayd etilgan: 	Items recorded inside:\s
 единиц. После закрытия повторное сканирование запрещено.	 dona. Yopilgandan keyin qayta skanerlash taqiqlanadi.	 units. Scanning again is not allowed after closing.
СЦ Внуково	Vnukovo saralash markazi	Vnukovo sorting centre
ПВЗ	PVZ	Pickup point
Заявка WMS: 	WMS ariza: 	WMS request:\s
Готово.	Tayyor.	Done.
Активных заявок на сборку нет.	Faol terish topshiriqlari yo‘q.	No active picking requests.
Заявки загружены: 	Yuklangan topshiriqlar: 	Requests loaded:\s
\nУже в работе: 	\nAllaqachon bajarilmoqda: 	\nAlready in progress:\s
\nГород: 	\nShahar: 	\nCity:\s
 · Статус: 	 · Holat: 	 · Status:\s
 · строк: 	 · qatorlar: 	 · rows:\s
Сборка по коробам	Qutilar bo‘yicha terish	Picking by boxes
Заявка: 	Topshiriq: 	Request:\s
 · осталось: 	 · qoldi: 	 · remaining:\s
Короба	Qutilar	Boxes
 шт · 	 dona · 	 units ·\s
Осталось упаковать	Qadoqlash uchun qoldi	Still to pack
 · осталось 	 · qoldi 	 · remaining\s
Завершить упаковку	Qadoqlashni yakunlash	Finish packing
Назад к заявке	Topshiriqqa qaytish	Back to request
Номер короба должен начинаться с FFL.	Quti raqami FFL bilan boshlanishi kerak.	The box number must start with FFL.
Заявка упакована.	Topshiriq qadoqlandi.	Request packed.
Операция принята.	Amal qabul qilindi.	Operation accepted.
найдено коробов: 	 topilgan qutilar: 	boxes found:\s
\nВ работе на ТСД: 	\nTSDda bajarilmoqda: 	\nIn progress on handheld:\s
\nЭтап: 	\nBosqich: 	\nStage:\s
\nСейчас работают: 	\nHozir ishlayotganlar: 	\nCurrently working:\s
; еще 	; yana 	; more\s
Операция уже выполнена другим сборщиком или отклонена WMS. Обновите заявку.	Amalni boshqa teruvchi bajargan yoki WMS uni rad etgan. Topshiriqni yangilang.	Another picker has already completed the operation, or WMS rejected it. Refresh the request.
поиск коробов	qutilarni qidirish	finding boxes
перемаркировка	qayta yorliqlash	relabelling
перемещения	ko‘chirishlar	transfers
контроль отгрузки	jo‘natishni tekshirish	shipment check
сборка по коробам	qutilar bo‘yicha terish	picking by boxes
открыта заявка	topshiriq ochildi	request opened
Пустая заявка от сервера	Serverdan bo‘sh topshiriq keldi	Empty request from server
Заявка открыта.	Topshiriq ochildi.	Request opened.
Заявка 	Topshiriq 	Request\s
Город: 	Shahar: 	City:\s
Статус: 	Holat: 	Status:\s
Единиц к отгрузке: 	Jo‘natiladigan birliklar: 	Units to ship:\s
 · коробов найти: 	 · topish kerak bo‘lgan qutilar: 	 · boxes to find:\s
Поиск коробов: найдено 	Qutilarni qidirish: topildi 	Box search: found\s
1. Сборка по коробам	1. Qutilar bo‘yicha terish	1. Picking by boxes
Обновить заявку	Topshiriqni yangilash	Refresh request
1. Поиск коробов (	1. Qutilarni qidirish (	1. Find boxes (
2. Перемаркировка	2. Qayta yorliqlash	2. Relabelling
3. Перемещения	3. Ko‘chirishlar	3. Transfers
4. Контроль отгрузки (	4. Jo‘natishni tekshirish (	4. Shipment check (
Заявка упакована	Topshiriq qadoqlandi	Request packed
Заявка собрана и ждет проверки менеджером.	Topshiriq terildi, menejer tekshiruvini kutmoqda.	Request picked and awaiting manager review.
Поиск коробов	Qutilarni qidirish	Find boxes
Найдено: 	Topildi: 	Found:\s
\nНа этой паллете нужно найти коробов: 	\nBu paletda topish kerak bo‘lgan qutilar: 	\nBoxes to find on this pallet:\s
СЛЕДУЮЩИЙ КОРОБ: 	KEYINGI QUTI: 	NEXT BOX:\s
Сканируйте короб	Qutini skanerlang	Scan box
Нужно найти · 	Topish kerak · 	Find ·\s
Ошибка: номер короба должен начинаться с FFL.	Xato: quti raqami FFL bilan boshlanishi kerak.	Error: the box number must start with FFL.
Короб не нужен: 	Bu quti kerak emas: 	Box not required:\s
Повторный скан отклонен. Короб уже был пропикан: 	Takroriy skan rad etildi. Quti avval skanerlangan: 	Duplicate scan rejected. Box already scanned:\s
\nКороб найден: 	\nQuti topildi: 	\nBox found:\s
Перемаркировка	Qayta yorliqlash	Relabelling
Перемаркировка: 	Qayta yorliqlash: 	Relabelling:\s
Выберите короб для перемаркировки:	Qayta yorliqlash uchun qutini tanlang:	Select a box for relabelling:
Перемаркировка завершена или не требуется.	Qayta yorliqlash tugallangan yoki talab qilinmaydi.	Relabelling is complete or not required.
\nОсталось: 	\nQoldi: 	\nRemaining:\s
Сканируйте старый ШК товара	Tovarning eski shtrixkodini skanerlang	Scan old product barcode
\nСканируйте новый ШК: 	\nYangi shtrixkodni skanerlang: 	\nScan new barcode:\s
Старый ШК	Eski shtrixkod	Old barcode
Новый ШК	Yangi shtrixkod	New barcode
 · размер: 	 · o‘lcham: 	 · size:\s
Назад к коробам	Qutilarga qaytish	Back to boxes
Старый ШК принят. Сканируйте новый ШК.	Eski shtrixkod qabul qilindi. Yangi shtrixkodni skanerlang.	Old barcode accepted. Scan the new barcode.
Неверный товар для перемаркировки: 	Qayta yorliqlash uchun noto‘g‘ri tovar: 	Wrong item for relabelling:\s
Переклейка подтверждена: 	Qayta yorliqlash tasdiqlandi: 	Relabelling confirmed:\s
Новый ШК неверный. Нужно: 	Yangi shtrixkod noto‘g‘ri. Keraklisi: 	Incorrect new barcode. Required:\s
Перемещения: 	Ko‘chirishlar: 	Transfers:\s
Сканируйте короб, из которого нужно переместить товар.	Tovar olinadigan qutini skanerlang.	Scan the box from which to transfer the items.
Новый короб открыт: 	Yangi quti ochildi: 	New box opened:\s
. Сканируйте следующий исходный короб.	. Keyingi manba qutini skanerlang.	. Scan the next source box.
. Сканируйте новый короб поставки, он должен начинаться с FFL.	. Yangi jo‘natma qutisini skanerlang, raqami FFL bilan boshlanishi kerak.	. Scan a new shipment box; its number must start with FFL.
. Сканируйте новый короб баланса, он должен начинаться с FFL.	. Qoldiq uchun yangi qutini skanerlang, raqami FFL bilan boshlanishi kerak.	. Scan a new stock box; its number must start with FFL.
Новый короб FFL	Yangi FFL qutisi	New FFL box
 · новый короб: 	 · yangi quti: 	 · new box:\s
. Сканируйте товар.	. Tovarni skanerlang.	. Scan the item.
Короба, из которых нужно переместить товар:	Tovar olinadigan qutilar:	Boxes to transfer items from:
в новый короб поставки	yangi jo‘natma qutisiga	to a new shipment box
остаток на баланс	qolgan tovarni saqlashga	remaining stock to storage
Что нужно переложить из этого короба:	Bu qutidan ko‘chiriladigan tovarlar:	Items to transfer from this box:
на баланс	saqlashga	to storage
Продолжить заполнять короб	Qutini to‘ldirishni davom ettirish	Continue filling box
Сканируйте следующий исходный короб для нового короба 	Yangi quti uchun keyingi manba qutini skanerlang: 	Scan the next source box for new box\s
Сменить новый короб	Yangi qutini almashtirish	Change new box
Сбросить выбор	Tanlovni bekor qilish	Clear selection
Контроль отгрузки	Jo‘natishni tekshirish	Shipment check
Контроль отгрузки откроется после поиска коробов, перемаркировки и перемещений.	Jo‘natishni tekshirish qutilar topilgach, qayta yorliqlash va ko‘chirishlar tugagach ochiladi.	Shipment check will become available after finding boxes, relabelling and transfers.
Отпикайте все короба, которые уезжают в поставку.	Jo‘natmaga ketadigan barcha qutilarni skanerlang.	Scan all boxes leaving in the shipment.
Короба к отгрузке: 	Jo‘natiladigan qutilar: 	Boxes to ship:\s
 · подтверждено: 	 · tasdiqlandi: 	 · confirmed:\s
 · паллет примерно: 	 · taxminiy paletlar: 	 · approximate pallets:\s
 · единиц: 	 · birliklar: 	 · units:\s
Сканируйте короб к отгрузке	Jo‘natiladigan qutini skanerlang	Scan box to ship
Нужно отпикать перед упаковкой	Qadoqlashdan oldin skanerlash kerak	Scan before packing
Этот короб не участвует в перемещении: 	Bu quti ko‘chirishga kirmaydi: 	This box is not part of the transfer:\s
Этот короб уже обработан: 	Bu quti avval ishlangan: 	This box has already been processed:\s
Исходный короб выбран: 	Manba quti tanlandi: 	Source box selected:\s
